title,link,content
Помощь участникам СВО и их семьям,https://gu.spb.ru/mfc/life_situations/740477/,"Помощь участникам СВО и их семьямДля участников СВО и их семей государство установило ряд льгот, выплат и социальных гарантий. Меры поддержки, реализуемые на федеральном и региональном уровне, включают: материальную помощь, кредитные каникулы, медицинское обслуживание, санаторно-курортное лечение, бесплатное посещение учреждений культуры и прочее."
Рождение ребёнка,https://gu.spb.ru/mfc/life_situations/190057/,"Рождение ребёнкаВ рамках жизненной ситуации «Рождение ребенка» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ, в течение получаса и при предъявлении минимального набора необходимых документов.Помимо базового пакета услуг, таких как выдача СНИЛС, полисов обязательного медицинского страхования, единовременная компенсация при рождении ребенка и зачисление в детский сад, Вы сможете получить различные причитающиеся по закону социальные выплаты и пособия в зависимости от льготной категории Вашей семьи.Обратите внимание на то, что получение услуг по данной жизненной ситуации возможно только после оформления государственной регистрации рождения посредством Портала, МФЦ или традиционным способом, поскольку свидетельство о рождении ребенка необходимо для получения этого пакета услуг. Отец ребенка имеет право подать заявление о назначении ежемесячной выплаты в случае смерти матери ребенка, объявления ее умершей, лишения ее родительских прав, а также в случае отмены усыновления. Если у родителей уже есть одна карта «Детская» на первого ребенка, то при рождении второго ребенка оформляется новая карта.При рождении двойни выдается только одна карта. При этом сумма на ней будет зависеть от того, на какого по счету ребенка начисляется единовременная компенсационная выплата.Например, если двойня — это первые дети в семье, то сумма на карте составит91 332 руб.Если в семье уже есть один ребенок, то за двойню будет начислено117 423 руб. Если вы получили положительное решение по заявлению оназначении единовременной компенсации, дождитесь СМС-сообщения от МФЦ о том, что карта поступила в отделение. После этого вы можете забрать карту. Общий срок ожидания — до 3 месяцев со дня подачи документов.Узнать о готовности карты можно, позвонивв отделение МФЦ, которое было выбрано при подаче заявления. Хотите регулярно получать полезную и актуальную информацию обо всем, что связано с госуслугами? Приглашаем Вас присоединиться к нашим официальным сообществам в социальных сетях."
Выход на пенсию,https://gu.spb.ru/mfc/life_situations/190087/,"Выход на пенсиюВ рамках жизненной ситуации «Выход на пенсию» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.В пакет услуг при выходе на пенсию входят прием заявлений на получение ежемесячной денежной выплаты пенсионерам, льготы по уплате налогов, замена газового оборудования и электрических плит, а также назначение других мер социальной поддержки, компенсаций, доплат.Вы также можете воспользоваться дополнительными пакетами услуг."
Перемена имени,https://gu.spb.ru/mfc/life_situations/190097/,"Перемена имениВ рамках жизненной ситуации «Перемена имени» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.В пакет услуг при перемене имени входят услуги по замене паспорта, переоформлению полиса ОМС, обмену СНИЛС, замене водительских удостоверений, внесение изменений в социальное дело."
Утрата документов,https://gu.spb.ru/mfc/life_situations/190089/,"Утрата документовВ рамках жизненной ситуации «Утрата документов» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.Вы можете получить дубликат СНИЛС, дубликаты справок и свидетельств (о рождении, заключении или расторжении брака, усыновлении/удочерении, перемене имени и т.д.), полис ОМС.Помимо этого, в случае необходимости Вы можете получить дубликаты различных удостоверений, аннулировать охотничий билет, получить дубликаты архивных справок, выписок, документов из Архивного фонда Санкт-Петербурга."
Строительство (инвестиции),https://gu.spb.ru/mfc/life_situations/753191/,"Строительство (инвестиции)В рамках жизненной ситуации «Строительство (инвестиции)» Вы можете получить комплекс услуг, необходимых для реализации проекта.Обратившись в МФЦ, Вы сможете оформить разрешительную документацию для начала строительства, зарегистрировать права на объект недвижимости, а также получить дополнительные согласования и актуальные сведения из государственных реестров."
Приобретение жилья,https://gu.spb.ru/mfc/life_situations/190099/,"Приобретение жильяВ рамках жизненной ситуации «Приобретение жилья» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.Вы можете подать заявление на получение безвозмездных субсидий, социальных выплат для приобретения или строительства жилых помещений, на участие в целевых программах «Молодежи – доступное жилье», «Расселение коммунальных квартир в Санкт-Петербурге», «Развитие долгосрочного жилищного кредитования в Санкт-Петербурге», подать документы для оформления жилищных сертификатов на приобретение жилых помещений.Помимо этого, Вы можете подать заявление на направление части средств (или всей суммы) материнского капитала на улучшение жилищных условий ребенка. Также Вы можете получить ряд услуг, предоставляемых Росреестром."
Утрата близкого человека,https://gu.spb.ru/mfc/life_situations/190095/,"Утрата близкого человекаВ рамках жизненной ситуации «Утрата близкого человека» Вы можете получить ряд услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.Вы можете подать заявление на оформление единовременной денежной выплаты на погребение ветерана Великой Отечественной Войны, назначение единовременной социальной компенсации на погребение (для малоимущих семей), получение пособия на погребение граждан, пострадавших в результате катастрофы на Чернобыльской АЭС.Также в рамках жизненной ситуации Вы можете заполнить заявление на получение различных доплат, выплат, компенсаций, льгот."
Открытие своего дела,https://gu.spb.ru/mfc/life_situations/190093/,"Открытие своего делаВ рамках жизненной ситуации «Открытие своего дела» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.Вы можете подать заявление на государственную регистрацию юридических и физических лиц в качестве индивидуальных предпринимателей, на уведомление о начале осуществления отдельных видов работ и услуг, при необходимости заполнить заявление на оказание единовременной финансовой помощи в рамках услуги по содействию самозанятости безработных граждан.Помимо этого, в рамках жизненной ситуации предусмотрено получение услуг, связанных с выдачей лицензий, разрешений, операциями с движимым и недвижимым имуществом, предоставлением информации и сведений, содержащихся в ЕГРЮЛ и ЕГРИП, Реестре собственности Санкт-Петербурга, Геоинформационной системе Санкт-Петербурга."
Индивидуальное жилищное строительство,https://gu.spb.ru/mfc/life_situations/190091/,"Индивидуальное жилищное строительствоВ рамках жизненной ситуации «Индивидуальное жилищное строительство» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.Вы можете заполнить заявление о предоставлении гражданам Российской Федерации, имеющим трех и более детей, земельных участков для ИЖС и на выдачу разрешений на строительство объектов ИЖС. Если Вы являетесь собственником земельного участка, Вы можете подать документы на оформление договора передачи участка в собственность, утверждение границ земельных участков, схем расположения на кадастровом плане или карте территории.Кроме того, Вы сможете заполнить заявление на получение льгот по земельному налогу или налогу на имущество, государственную регистрацию прав на недвижимое имущество, получение кадастрового паспорта."
Наличие инвалидности у взрослого,https://gu.spb.ru/mfc/life_situations/741043/,"Наличие инвалидности у взрослогоВ рамках жизненной ситуации «Наличие инвалидности у взрослого» Вы можете получить целый ряд востребованных услуг в режиме «одного окна» у одного специалиста МФЦ в течение получаса и при предъявлении минимального набора необходимых документов.При назначении инвалидности Вы или Ваши близкие можете столкнуться с целым рядом вопросов, связанных с назначением пенсии и дополнительных выплат, получением технических средств реабилитации, лекарственного обеспечения, льготы на оплату ЖКУ, оформлением социального такси и санаторно-курортного лечения.Решить эти и другие вопросы, оформить положенные инвалиду льготы и меры социальной поддержки Вы сможете, подав заявления в рамках одной жизненной ситуации."
